epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4616,1.3087,1.44727,1.23155,0.5363,0.61741,0.66074,0.48046,1.11586,1.43977,1.29437,3.05556e-05,3.05556e-05,0.069475
2,64.647,1.2454,1.39276,1.2326,0.64045,0.57021,0.64821,0.49649,1.0445,1.29723,1.24648,5.75639e-05,5.75639e-05,0.0361687
3,98.5972,1.20502,1.26924,1.19392,0.65659,0.58915,0.6502,0.50726,0.99412,1.26702,1.21615,7.79722e-05,7.79722e-05,0.00285575
4,129.943,1.207,1.23682,1.17358,0.6666,0.59115,0.65592,0.51265,0.97668,1.25922,1.2043,7.03e-05,7.03e-05,7.03e-05
5,159.622,1.21456,1.22667,1.17473,0.67307,0.61015,0.65169,0.50689,0.96712,1.27596,1.20475,6.04e-05,6.04e-05,6.04e-05
6,190.821,1.19911,1.20798,1.18446,0.65562,0.61657,0.65602,0.50705,0.96728,1.28044,1.20573,5.05e-05,5.05e-05,5.05e-05
7,221.176,1.18238,1.19745,1.20106,0.62502,0.62951,0.66772,0.51844,0.96692,1.28689,1.20892,4.06e-05,4.06e-05,4.06e-05
8,252.305,1.17057,1.18276,1.18152,0.60331,0.65271,0.67171,0.51714,0.96964,1.29087,1.2124,3.07e-05,3.07e-05,3.07e-05
9,282.969,1.17629,1.16621,1.18153,0.5808,0.65503,0.66788,0.51338,0.96847,1.29238,1.21295,2.08e-05,2.08e-05,2.08e-05
10,314.335,1.1517,1.14669,1.13916,0.61479,0.6267,0.66771,0.51395,0.96844,1.30249,1.21234,1.09e-05,1.09e-05,1.09e-05
