epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.1633,1.4861,2.47053,1.39457,0.51924,0.08637,0.09741,0.05622,1.9829,3.92976,1.90577,0.00015873,0.00015873,0.0684127
2,172.718,1.36662,2.0449,1.34285,0.46594,0.26502,0.28393,0.18871,1.53866,2.38007,1.45485,0.000293183,0.000293183,0.0352138
3,257.477,1.40607,2.03467,1.40554,0.51018,0.45504,0.48689,0.32827,1.31252,1.71284,1.27407,0.000394635,0.000394635,0.00198194
4,338.801,1.33928,1.81003,1.34868,0.54186,0.50877,0.55998,0.39327,1.26786,1.56324,1.23689,0.0003515,0.0003515,0.0003515
5,426.441,1.31273,1.66834,1.32818,0.68112,0.52021,0.60826,0.42686,1.23404,1.40214,1.20119,0.000302,0.000302,0.000302
6,510.869,1.23135,1.52514,1.25747,0.75206,0.53597,0.6478,0.45487,1.21677,1.26968,1.18667,0.0002525,0.0002525,0.0002525
7,593.8,1.29296,1.56182,1.2582,0.7103,0.58098,0.66945,0.46573,1.19016,1.20054,1.17407,0.000203,0.000203,0.000203
8,678.507,1.26799,1.45968,1.24581,0.77599,0.57245,0.69751,0.48333,1.16635,1.15843,1.15727,0.0001535,0.0001535,0.0001535
9,763.841,1.24831,1.42852,1.22759,0.7583,0.60094,0.71064,0.49596,1.14774,1.13716,1.14845,0.000104,0.000104,0.000104
10,848.171,1.22633,1.46499,1.27897,0.76386,0.59756,0.71038,0.49814,1.13541,1.12309,1.14065,5.45e-05,5.45e-05,5.45e-05
