epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5161,1.2955,1.5833,1.2374,0.6162,0.54172,0.62112,0.42145,1.1642,1.45824,1.30027,3.07692e-05,3.07692e-05,0.0692615
2,68.5009,1.28413,1.46877,1.20441,0.54662,0.57097,0.63762,0.44639,1.12038,1.40005,1.2827,5.77564e-05,5.77564e-05,0.0359552
3,101.802,1.27943,1.3426,1.1925,0.57689,0.61276,0.67643,0.49594,1.05554,1.32253,1.23825,7.81436e-05,7.81436e-05,0.00264225
4,136.445,1.23169,1.34769,1.18802,0.54931,0.64051,0.66521,0.48763,1.03275,1.29459,1.22868,7.03e-05,7.03e-05,7.03e-05
5,168.817,1.2149,1.36454,1.19934,0.57346,0.60702,0.6769,0.50231,1.01031,1.2681,1.22727,6.04e-05,6.04e-05,6.04e-05
6,202.353,1.21346,1.27779,1.17096,0.55995,0.65038,0.68719,0.5083,1.00988,1.26365,1.22852,5.05e-05,5.05e-05,5.05e-05
7,236.055,1.20603,1.33738,1.17102,0.53859,0.64212,0.67967,0.50383,1.01023,1.26561,1.22952,4.06e-05,4.06e-05,4.06e-05
8,273.481,1.1663,1.23581,1.1445,0.55908,0.61713,0.68159,0.50644,1.01273,1.26414,1.23399,3.07e-05,3.07e-05,3.07e-05
9,306.96,1.16155,1.24784,1.17892,0.56062,0.61191,0.67954,0.50312,1.01166,1.26536,1.23239,2.08e-05,2.08e-05,2.08e-05
10,342.768,1.20033,1.27234,1.19171,0.54117,0.59734,0.67315,0.49947,1.01072,1.26519,1.23132,1.09e-05,1.09e-05,1.09e-05
