epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1536,1.32349,1.64958,1.25276,0.52715,0.56862,0.57833,0.40749,1.19235,1.65247,1.35424,3.1746e-05,3.1746e-05,0.0682857
2,99.2299,1.32448,1.51632,1.24373,0.62476,0.49421,0.61296,0.44654,1.04747,1.49215,1.27206,5.86365e-05,5.86365e-05,0.0349793
3,149.811,1.28906,1.41864,1.21846,0.63354,0.53697,0.63276,0.45828,1.02337,1.40157,1.24695,7.8927e-05,7.8927e-05,0.00166623
4,203.125,1.22393,1.77921,1.1625,0.65318,0.51027,0.63042,0.45775,1.01562,1.38161,1.23575,7.03e-05,7.03e-05,7.03e-05
5,254.183,1.25462,1.38463,1.20188,0.69987,0.50609,0.63493,0.45758,1.0169,1.36005,1.24105,6.04e-05,6.04e-05,6.04e-05
6,306.496,1.21098,1.39354,1.17931,0.70131,0.51025,0.63838,0.45669,1.01116,1.35069,1.23885,5.05e-05,5.05e-05,5.05e-05
7,359.365,1.23985,1.26788,1.19142,0.70364,0.50975,0.63355,0.45323,1.01509,1.35045,1.24396,4.06e-05,4.06e-05,4.06e-05
8,407.232,1.20504,1.25209,1.17623,0.50025,0.61613,0.63203,0.44835,1.01376,1.34494,1.23918,3.07e-05,3.07e-05,3.07e-05
9,456.568,1.18238,1.21364,1.1733,0.52687,0.60152,0.63172,0.44905,1.01303,1.34168,1.24147,2.08e-05,2.08e-05,2.08e-05
10,508.22,1.22878,1.3716,1.20628,0.522,0.59802,0.62942,0.45033,1.01738,1.33515,1.24231,1.09e-05,1.09e-05,1.09e-05
