trial,mAP
1,0.8186
2,0.8183
3,0.8189
4,0.8270
5,0.8187
6,0.8050
7,0.8233
8,0.8173
9,0.8178
10,0.8212
11,0.8223
12,0.8316
13,0.8266
14,0.8211
15,0.8126
16,0.8099
17,0.8225
18,0.8331
19,0.8204
20,0.8189
21,0.8253
22,0.8055
23,0.8169
24,0.8249
25,0.8287
26,0.8176
27,0.8238
28,0.8225
29,0.8278
30,0.8089
31,0.8257
32,0.8049
33,0.7938
34,0.8139
35,0.8108
36,0.8288
37,0.8266
38,0.8078
39,0.8285
40,0.8100
41,0.8191
42,0.8171
43,0.8211
44,0.8282
45,0.8264
46,0.8235
47,0.8265
48,0.8248
49,0.8137
50,0.8128
51,0.8153
52,0.8250
53,0.8175
54,0.8434
55,0.8118
56,0.8090
57,0.8277
58,0.8342
59,0.8251
60,0.8284
61,0.8343
62,0.8191
63,0.8058
64,0.8147
65,0.8295
66,0.8056
67,0.8203
68,0.8225
69,0.8168
70,0.8272
71,0.8258
72,0.8432
73,0.8262
74,0.8139
75,0.8144
76,0.8117
77,0.8295
78,0.8143
79,0.8193
80,0.8275
81,0.8128
82,0.8171
83,0.8016
84,0.8092
85,0.8143
86,0.8242
87,0.8319
88,0.8198
89,0.8226
90,0.8217
91,0.8308
92,0.8289
93,0.8227
94,0.8099
95,0.8290
96,0.8238
97,0.8323
98,0.8197
99,0.8395
100,0.8164
