node,reduction_pct
1,39.86
2,39.83
3,39.89
4,40.70
5,39.87
6,38.50
7,40.33
8,39.73
9,39.78
10,40.12
11,40.23
12,41.16
13,40.66
14,40.11
15,39.26
16,38.99
17,40.25
18,41.31
19,40.04
20,39.89
21,40.53
22,38.55
23,39.69
24,40.49
25,40.87
26,39.76
27,40.38
28,40.25
29,40.78
30,38.89
31,40.57
32,38.49
33,37.38
34,39.39
35,39.08
36,40.88
37,40.66
38,38.78
39,40.85
40,39.00
41,39.91
42,39.71
43,40.11
44,40.82
45,40.64
46,40.35
47,40.65
48,40.48
49,39.37
50,39.28
51,39.53
52,40.50
53,39.75
54,42.34
55,39.18
56,38.90
57,40.77
58,41.42
59,40.51
60,40.84
61,41.43
62,39.91
63,38.58
64,39.47
65,40.95
66,38.56
67,40.03
68,40.25
69,39.68
70,40.72
71,40.58
72,42.32
73,40.62
74,39.39
75,39.44
76,39.17
77,40.95
78,39.43
79,39.93
80,40.75
81,39.28
82,39.71
83,38.16
84,38.92
85,39.43
86,40.42
87,41.19
88,39.98
89,40.26
90,40.17
91,41.08
92,40.89
93,40.27
94,38.99
95,40.90
96,40.38
97,41.23
98,39.97
99,41.95
100,39.64
