trial,neuralforge,optunanat,raytune,kubeflow
1,0.8186,0.8183,0.8089,0.8070
2,0.8187,0.8050,0.8133,0.7973
3,0.8178,0.8212,0.8123,0.8116
4,0.8266,0.8211,0.8026,0.7899
5,0.8225,0.8331,0.8104,0.7989
6,0.8253,0.8055,0.8069,0.8049
7,0.8287,0.8176,0.8138,0.8025
8,0.8278,0.8089,0.8157,0.7849
9,0.7938,0.8139,0.8008,0.8088
10,0.8266,0.8078,0.8185,0.7900
11,0.8191,0.8171,0.8111,0.8082
12,0.8264,0.8235,0.8165,0.8048
13,0.8137,0.8128,0.8053,0.8050
14,0.8175,0.8434,0.8018,0.7890
15,0.8277,0.8342,0.8151,0.8084
16,0.8343,0.8191,0.7958,0.7947
17,0.8295,0.8056,0.8103,0.8025
18,0.8168,0.8272,0.8158,0.8232
19,0.8262,0.8139,0.8044,0.7917
20,0.8295,0.8143,0.8093,0.8075
21,0.8128,0.8171,0.7916,0.7892
22,0.8143,0.8242,0.8219,0.7998
23,0.8226,0.8217,0.8208,0.8089
24,0.8227,0.8099,0.8190,0.8038
25,0.8323,0.8197,0.8295,0.7964
26,0.8359,0.8212,0.8048,0.7887
27,0.8185,0.8342,0.8182,0.8069
28,0.7962,0.8271,0.8156,0.7945
29,0.8137,0.8200,0.8272,0.7894
30,0.8157,0.8336,0.8055,0.7964
31,0.8210,0.8076,0.8122,0.7879
32,0.8289,0.8200,0.8328,0.8028
33,0.8337,0.8070,0.8088,0.8032
34,0.8375,0.8032,0.8199,0.8059
35,0.8353,0.8271,0.8105,0.7948
36,0.8075,0.8220,0.8081,0.8202
37,0.8139,0.8232,0.7943,0.7960
38,0.8226,0.8282,0.8245,0.7996
39,0.8088,0.8246,0.8152,0.8049
40,0.8130,0.8313,0.8109,0.8070
41,0.8327,0.8261,0.8129,0.8215
42,0.8224,0.8170,0.8111,0.8148
43,0.8212,0.8252,0.8220,0.7949
44,0.8027,0.8230,0.8123,0.7939
45,0.8287,0.8261,0.8001,0.8052
46,0.8180,0.8052,0.8145,0.7995
47,0.8125,0.8252,0.8149,0.7942
48,0.8240,0.8302,0.8029,0.8038
49,0.8200,0.8427,0.7914,0.8070
50,0.8169,0.8190,0.8290,0.7999
51,0.8424,0.8156,0.8135,0.7951
52,0.8131,0.8206,0.8072,0.8020
53,0.7989,0.8400,0.8083,0.8174
54,0.8099,0.8229,0.8416,0.7913
55,0.8050,0.8145,0.8147,0.8069
56,0.8329,0.8174,0.7940,0.7956
57,0.8324,0.8247,0.7904,0.7996
58,0.8340,0.8413,0.8156,0.8031
59,0.8076,0.8116,0.8105,0.8050
60,0.8258,0.8152,0.7985,0.7922
61,0.8084,0.8264,0.7869,0.7967
62,0.8245,0.8352,0.8107,0.8100
63,0.8160,0.8126,0.8033,0.8153
64,0.8299,0.8249,0.8433,0.7997
65,0.8262,0.8231,0.8078,0.8232
66,0.8351,0.8060,0.8060,0.8043
67,0.8278,0.8065,0.7874,0.7809
68,0.8193,0.8190,0.8135,0.7923
69,0.8078,0.7998,0.8133,0.8037
70,0.8299,0.8279,0.8081,0.8135
71,0.8186,0.8134,0.8048,0.7942
72,0.7983,0.8216,0.8125,0.7964
73,0.8129,0.8237,0.8272,0.8004
74,0.8149,0.8141,0.8093,0.7874
75,0.8187,0.8206,0.8284,0.8094
76,0.8303,0.8129,0.8167,0.7886
77,0.8231,0.8242,0.8023,0.8200
78,0.8257,0.8010,0.8155,0.7959
79,0.8200,0.8247,0.8139,0.7796
80,0.8084,0.8277,0.8230,0.8190
81,0.8380,0.7994,0.8177,0.7808
82,0.8361,0.8225,0.7986,0.8201
83,0.8264,0.8011,0.8129,0.7927
84,0.8211,0.8153,0.8237,0.7858
85,0.8232,0.8381,0.8017,0.8021
86,0.8220,0.8131,0.8165,0.8010
87,0.8106,0.8376,0.8179,0.7983
88,0.8136,0.8122,0.8223,0.7985
89,0.8246,0.8182,0.8162,0.7988
90,0.8276,0.8182,0.8183,0.8067
91,0.8188,0.8114,0.8006,0.7926
92,0.8102,0.8287,0.8095,0.8157
93,0.8428,0.8202,0.7945,0.7962
94,0.8192,0.8051,0.8075,0.8029
95,0.8154,0.8123,0.8024,0.8179
96,0.8184,0.8117,0.8063,0.8095
97,0.8132,0.8248,0.8173,0.8075
98,0.8340,0.8145,0.8213,0.7921
99,0.8160,0.8320,0.8182,0.8000
100,0.8081,0.8256,0.8037,0.7908
