seed,image_id,class_name,grad_cam_deletion_auc,eigen_cam_deletion_auc,random_deletion_auc
42,img_0000,person,0.1569,0.1509,0.4623
42,img_0001,person,0.2448,0.175,0.5154
42,img_0002,person,0.1709,0.1493,0.4663
42,img_0003,person,0.2196,0.1588,0.4779
42,img_0004,person,0.2468,0.1295,0.4961
42,img_0005,person,0.1646,0.1525,0.4961
42,img_0006,person,0.2009,0.1979,0.4998
42,img_0007,person,0.1986,0.1863,0.4634
42,img_0008,person,0.2064,0.135,0.4821
42,img_0009,person,0.2376,0.1377,0.4098
42,img_0010,person,0.1733,0.1733,0.5088
42,img_0011,person,0.1956,0.1907,0.4356
42,img_0012,person,0.2035,0.188,0.4783
42,img_0013,person,0.233,0.1904,0.4831
42,img_0014,person,0.2286,0.1513,0.5101
42,img_0015,person,0.2152,0.1251,0.5181
42,img_0016,person,0.2031,0.1779,0.4858
42,img_0017,person,0.1868,0.1522,0.4132
42,img_0018,person,0.1559,0.1853,0.53
42,img_0019,person,0.1501,0.1987,0.468
42,img_0020,person,0.1612,0.1904,0.4701
42,img_0021,person,0.168,0.171,0.4304
42,img_0022,person,0.1512,0.1687,0.4564
42,img_0023,person,0.1897,0.1449,0.5063
42,img_0024,person,0.1642,0.1226,0.4791
42,img_0025,person,0.1967,0.1385,0.4624
42,img_0026,person,0.211,0.1319,0.5318
42,img_0027,person,0.1564,0.157,0.475
42,img_0028,person,0.1601,0.198,0.4289
42,img_0029,person,0.2126,0.1849,0.5273
42,img_0030,person,0.1983,0.1209,0.4693
42,img_0031,person,0.2371,0.163,0.5458
42,img_0032,person,0.2139,0.158,0.5167
42,img_0033,person,0.1587,0.1438,0.4654
42,img_0034,person,0.2328,0.1503,0.4452
42,img_0035,person,0.2272,0.1599,0.5113
42,img_0036,person,0.1541,0.1348,0.4076
42,img_0037,person,0.2345,0.1804,0.4194
42,img_0038,person,0.2472,0.189,0.4453
42,img_0039,person,0.164,0.1799,0.5357
42,img_0040,person,0.1649,0.1252,0.5202
42,img_0041,person,0.1865,0.1588,0.4584
42,img_0042,person,0.1864,0.139,0.493
42,img_0043,person,0.2163,0.1412,0.5255
42,img_0044,person,0.2425,0.1234,0.4845
42,img_0045,person,0.1892,0.1993,0.4322
42,img_0046,person,0.241,0.1425,0.4443
42,img_0047,person,0.1547,0.1531,0.4831
42,img_0048,person,0.1892,0.1744,0.5123
42,img_0049,person,0.1847,0.1727,0.5306
42,img_0050,person,0.1874,0.1919,0.5081
42,img_0051,person,0.2036,0.1715,0.4537
42,img_0052,person,0.2186,0.1542,0.4368
42,img_0053,person,0.2365,0.1573,0.5145
42,img_0054,person,0.2256,0.1552,0.4648
42,img_0055,person,0.1558,0.1947,0.4795
42,img_0056,person,0.1738,0.121,0.4046
42,img_0057,person,0.1904,0.1802,0.4708
42,img_0058,person,0.1649,0.172,0.4196
42,img_0059,person,0.1611,0.1424,0.414
42,img_0060,person,0.1585,0.1757,0.4511
42,img_0061,person,0.2027,0.188,0.5309
42,img_0062,person,0.1661,0.1456,0.4028
42,img_0063,person,0.2452,0.1854,0.486
42,img_0064,person,0.1641,0.1773,0.4536
42,img_0065,person,0.2213,0.1229,0.477
42,img_0066,person,0.1531,0.1676,0.5209
42,img_0067,person,0.1796,0.1461,0.4107
42,img_0068,person,0.1533,0.1538,0.47
42,img_0069,person,0.162,0.146,0.4427
42,img_0070,person,0.1833,0.1898,0.4271
42,img_0071,person,0.1512,0.1699,0.4188
42,img_0072,person,0.1518,0.1947,0.4727
42,img_0073,person,0.231,0.1729,0.5006
42,img_0074,person,0.1902,0.1964,0.4346
42,img_0075,person,0.1612,0.1865,0.4182
42,img_0076,person,0.1727,0.1319,0.5413
42,img_0077,person,0.1929,0.1614,0.4348
42,img_0078,person,0.1783,0.1886,0.4554
42,img_0079,person,0.1879,0.1553,0.5215
42,img_0080,person,0.2452,0.1668,0.4656
42,img_0081,person,0.1892,0.1363,0.4471
42,img_0082,person,0.2191,0.1644,0.5053
42,img_0083,person,0.246,0.1227,0.547
42,img_0084,person,0.1715,0.1345,0.4406
42,img_0085,person,0.2388,0.1969,0.5368
42,img_0086,person,0.2005,0.1277,0.4249
42,img_0087,person,0.1625,0.1672,0.5313
42,img_0088,person,0.1783,0.1764,0.4195
42,img_0089,person,0.181,0.1275,0.5425
42,img_0090,person,0.2174,0.1659,0.5424
42,img_0091,person,0.2023,0.1512,0.4637
42,img_0092,person,0.1742,0.1815,0.4077
42,img_0093,person,0.1734,0.141,0.4146
42,img_0094,person,0.1538,0.1702,0.4669
42,img_0095,person,0.1641,0.1995,0.4658
42,img_0096,person,0.2358,0.1828,0.505
42,img_0097,person,0.1904,0.1362,0.4466
42,img_0098,person,0.2242,0.1856,0.5228
42,img_0099,person,0.1932,0.1852,0.54
43,img_0000,person,0.1785,0.1996,0.5383
43,img_0001,person,0.2008,0.1733,0.5188
43,img_0002,person,0.1578,0.1402,0.4936
43,img_0003,person,0.1883,0.174,0.4114
43,img_0004,person,0.2387,0.1349,0.5184
43,img_0005,person,0.1715,0.1798,0.4782
43,img_0006,person,0.2419,0.1651,0.4661
43,img_0007,person,0.1539,0.1351,0.4113
43,img_0008,person,0.1998,0.1206,0.5065
43,img_0009,person,0.2271,0.1625,0.4871
43,img_0010,person,0.1774,0.122,0.489
43,img_0011,person,0.2345,0.1677,0.4821
43,img_0012,person,0.153,0.1686,0.4265
43,img_0013,person,0.242,0.195,0.4613
43,img_0014,person,0.2448,0.1821,0.4679
43,img_0015,person,0.1532,0.1405,0.5059
43,img_0016,person,0.2397,0.1459,0.4573
43,img_0017,person,0.2007,0.1932,0.5466
43,img_0018,person,0.2175,0.139,0.4345
43,img_0019,person,0.2142,0.1206,0.5096
43,img_0020,person,0.2333,0.1997,0.4518
43,img_0021,person,0.2469,0.1563,0.5017
43,img_0022,person,0.2116,0.1441,0.4958
43,img_0023,person,0.2448,0.1237,0.497
43,img_0024,person,0.2416,0.1446,0.405
43,img_0025,person,0.195,0.1564,0.5164
43,img_0026,person,0.2488,0.1413,0.4208
43,img_0027,person,0.2365,0.1771,0.4302
43,img_0028,person,0.2422,0.1583,0.5055
43,img_0029,person,0.2228,0.1587,0.4272
43,img_0030,person,0.2244,0.1416,0.5096
43,img_0031,person,0.2042,0.1991,0.4132
43,img_0032,person,0.1912,0.1504,0.4839
43,img_0033,person,0.2132,0.1834,0.5182
43,img_0034,person,0.2196,0.1321,0.4716
43,img_0035,person,0.2322,0.1528,0.5304
43,img_0036,person,0.2254,0.1454,0.4063
43,img_0037,person,0.1952,0.1929,0.4219
43,img_0038,person,0.2378,0.1251,0.4406
43,img_0039,person,0.1546,0.1772,0.4987
43,img_0040,person,0.174,0.1295,0.5087
43,img_0041,person,0.2086,0.1336,0.5331
43,img_0042,person,0.2434,0.1305,0.4163
43,img_0043,person,0.1826,0.146,0.4673
43,img_0044,person,0.1628,0.1844,0.5419
43,img_0045,person,0.1597,0.1317,0.513
43,img_0046,person,0.2498,0.1457,0.4227
43,img_0047,person,0.1657,0.1593,0.409
43,img_0048,person,0.1898,0.1691,0.4661
43,img_0049,person,0.174,0.1885,0.5247
43,img_0050,person,0.1762,0.1645,0.4193
43,img_0051,person,0.2093,0.181,0.5322
43,img_0052,person,0.2232,0.1651,0.407
43,img_0053,person,0.2254,0.1955,0.4019
43,img_0054,person,0.2044,0.175,0.4683
43,img_0055,person,0.1718,0.1474,0.4947
43,img_0056,person,0.1847,0.1415,0.5199
43,img_0057,person,0.1778,0.154,0.5409
43,img_0058,person,0.2023,0.1708,0.5083
43,img_0059,person,0.2034,0.1385,0.5457
43,img_0060,person,0.1957,0.1791,0.4058
43,img_0061,person,0.1919,0.1669,0.4363
43,img_0062,person,0.2445,0.1924,0.4979
43,img_0063,person,0.1928,0.1313,0.5055
43,img_0064,person,0.2375,0.1712,0.4745
43,img_0065,person,0.2346,0.1792,0.4344
43,img_0066,person,0.2246,0.1441,0.5272
43,img_0067,person,0.2071,0.18,0.4552
43,img_0068,person,0.1946,0.1846,0.4707
43,img_0069,person,0.1954,0.196,0.4138
43,img_0070,person,0.2116,0.1904,0.4927
43,img_0071,person,0.157,0.1811,0.4103
43,img_0072,person,0.2417,0.1801,0.4718
43,img_0073,person,0.2488,0.1504,0.4105
43,img_0074,person,0.1673,0.1571,0.488
43,img_0075,person,0.2267,0.1606,0.501
43,img_0076,person,0.1599,0.1689,0.4127
43,img_0077,person,0.2043,0.1544,0.4461
43,img_0078,person,0.1689,0.1629,0.4057
43,img_0079,person,0.1793,0.199,0.4249
43,img_0080,person,0.2151,0.1605,0.4066
43,img_0081,person,0.1504,0.1582,0.5435
43,img_0082,person,0.247,0.126,0.5309
43,img_0083,person,0.1751,0.1928,0.4186
43,img_0084,person,0.1998,0.1566,0.4395
43,img_0085,person,0.1782,0.167,0.4956
43,img_0086,person,0.2114,0.1829,0.4242
43,img_0087,person,0.2286,0.1298,0.446
43,img_0088,person,0.2399,0.1857,0.4119
43,img_0089,person,0.2281,0.1627,0.5427
43,img_0090,person,0.2233,0.1255,0.4639
43,img_0091,person,0.1597,0.1833,0.4741
43,img_0092,person,0.2172,0.1762,0.4735
43,img_0093,person,0.2203,0.1461,0.4618
43,img_0094,person,0.2199,0.1923,0.5231
43,img_0095,person,0.2497,0.1651,0.5306
43,img_0096,person,0.1758,0.1328,0.5201
43,img_0097,person,0.1779,0.168,0.4494
43,img_0098,person,0.2002,0.1205,0.4343
43,img_0099,person,0.2274,0.1309,0.417
44,img_0000,person,0.1649,0.1565,0.4522
44,img_0001,person,0.1735,0.1545,0.5222
44,img_0002,person,0.2203,0.1857,0.4284
44,img_0003,person,0.1512,0.1677,0.5179
44,img_0004,person,0.1794,0.1468,0.403
44,img_0005,person,0.1687,0.1286,0.52
44,img_0006,person,0.2012,0.1947,0.5109
44,img_0007,person,0.1987,0.1595,0.4428
44,img_0008,person,0.1767,0.1291,0.4677
44,img_0009,person,0.2214,0.1454,0.4763
44,img_0010,person,0.1737,0.168,0.5141
44,img_0011,person,0.2072,0.1936,0.5209
44,img_0012,person,0.1918,0.1908,0.4232
44,img_0013,person,0.1787,0.1933,0.4082
44,img_0014,person,0.2435,0.1607,0.4014
44,img_0015,person,0.2467,0.1557,0.4082
44,img_0016,person,0.2369,0.1679,0.4574
44,img_0017,person,0.1508,0.1917,0.5051
44,img_0018,person,0.1875,0.1393,0.4164
44,img_0019,person,0.1629,0.1493,0.4313
44,img_0020,person,0.1978,0.1292,0.5452
44,img_0021,person,0.1848,0.1438,0.5407
44,img_0022,person,0.218,0.1365,0.4391
44,img_0023,person,0.1957,0.1577,0.4881
44,img_0024,person,0.17,0.1422,0.4909
44,img_0025,person,0.2465,0.1888,0.4587
44,img_0026,person,0.2179,0.1754,0.4725
44,img_0027,person,0.1885,0.1688,0.4
44,img_0028,person,0.1548,0.1346,0.5312
