image_id,passes,mean_confidence,epistemic_variance,aleatoric_variance,total_uncertainty
img_0001,20,0.715,0.0062,0.0232,0.0294
img_0002,20,0.612,0.0068,0.0421,0.0489
img_0003,20,0.851,0.0066,0.0236,0.0302
img_0004,20,0.869,0.0059,0.0394,0.0453
img_0005,20,0.609,0.0145,0.0214,0.0359
img_0006,20,0.731,0.0124,0.0325,0.0449
img_0007,20,0.68,0.0095,0.0593,0.0688
img_0008,20,0.822,0.0024,0.0583,0.0607
img_0009,20,0.616,0.017,0.0207,0.0377
img_0010,20,0.763,0.0077,0.0226,0.0303
img_0011,20,0.81,0.0049,0.0531,0.0579
img_0012,20,0.822,0.0031,0.0408,0.0439
img_0013,20,0.842,0.0073,0.0342,0.0416
img_0014,20,0.803,0.0089,0.0403,0.0491
img_0015,20,0.884,0.0032,0.0494,0.0526
img_0016,20,0.629,0.0069,0.0377,0.0446
img_0017,20,0.651,0.0155,0.0421,0.0576
img_0018,20,0.604,0.0049,0.0579,0.0628
img_0019,20,0.711,0.0068,0.0596,0.0664
img_0020,20,0.909,0.0031,0.0436,0.0467
img_0021,20,0.731,0.007,0.0214,0.0284
img_0022,20,0.657,0.0171,0.0569,0.074
img_0023,20,0.91,0.0026,0.0541,0.0567
img_0024,20,0.779,0.0047,0.0522,0.0569
img_0025,20,0.738,0.0042,0.0542,0.0584
img_0026,20,0.93,0.0011,0.0574,0.0585
img_0027,20,0.775,0.0086,0.0285,0.0371
img_0028,20,0.689,0.0076,0.0506,0.0583
img_0029,20,0.637,0.0053,0.0407,0.0459
img_0030,20,0.612,0.0161,0.0382,0.0544
img_0031,20,0.835,0.0025,0.035,0.0375
img_0032,20,0.923,0.0023,0.0545,0.0567
img_0033,20,0.928,0.0034,0.0454,0.0488
img_0034,20,0.877,0.0053,0.0331,0.0384
img_0035,20,0.692,0.0116,0.0321,0.0437
img_0036,20,0.876,0.0014,0.0397,0.0411
img_0037,20,0.896,0.0029,0.0499,0.0528
img_0038,20,0.855,0.0047,0.0335,0.0383
img_0039,20,0.706,0.013,0.0597,0.0727
img_0040,20,0.818,0.0045,0.0333,0.0378
img_0041,20,0.602,0.0072,0.0348,0.0421
img_0042,20,0.924,0.0034,0.0526,0.056
img_0043,20,0.731,0.0119,0.0321,0.044
img_0044,20,0.941,0.0028,0.0225,0.0253
img_0045,20,0.763,0.0111,0.0257,0.0368
img_0046,20,0.854,0.0015,0.0278,0.0294
img_0047,20,0.853,0.0037,0.031,0.0348
img_0048,20,0.885,0.002,0.0347,0.0367
img_0049,20,0.767,0.0113,0.0292,0.0405
img_0050,20,0.756,0.009,0.0555,0.0645
img_0051,20,0.765,0.0049,0.0489,0.0539
img_0052,20,0.665,0.0068,0.0273,0.0341
img_0053,20,0.767,0.0081,0.0544,0.0625
img_0054,20,0.843,0.0048,0.0474,0.0522
img_0055,20,0.933,0.0033,0.053,0.0564
img_0056,20,0.943,0.0011,0.0574,0.0585
img_0057,20,0.918,0.0036,0.0286,0.0322
img_0058,20,0.892,0.002,0.0467,0.0487
img_0059,20,0.646,0.0153,0.0319,0.0472
img_0060,20,0.885,0.0054,0.0435,0.0489
img_0061,20,0.786,0.009,0.0315,0.0405
img_0062,20,0.872,0.0044,0.0588,0.0632
img_0063,20,0.682,0.011,0.0473,0.0583
img_0064,20,0.752,0.0102,0.0423,0.0525
img_0065,20,0.78,0.0054,0.0428,0.0481
img_0066,20,0.872,0.0022,0.0503,0.0525
img_0067,20,0.716,0.0133,0.0513,0.0646
img_0068,20,0.797,0.0071,0.028,0.0351
img_0069,20,0.665,0.0139,0.0569,0.0708
img_0070,20,0.601,0.0111,0.0356,0.0467
img_0071,20,0.901,0.004,0.0302,0.0342
img_0072,20,0.694,0.0049,0.0596,0.0645
img_0073,20,0.933,0.0009,0.0479,0.0487
img_0074,20,0.833,0.0049,0.0555,0.0604
img_0075,20,0.802,0.0038,0.0462,0.05
img_0076,20,0.877,0.0059,0.0322,0.0381
img_0077,20,0.614,0.0158,0.0469,0.0627
img_0078,20,0.732,0.0073,0.0257,0.033
img_0079,20,0.914,0.0038,0.0333,0.0371
img_0080,20,0.903,0.0046,0.032,0.0366
img_0081,20,0.812,0.0054,0.0367,0.0422
img_0082,20,0.908,0.0024,0.0445,0.0469
img_0083,20,0.7,0.008,0.043,0.051
img_0084,20,0.913,0.0016,0.0335,0.035
img_0085,20,0.711,0.0144,0.0357,0.0502
img_0086,20,0.817,0.0064,0.0326,0.039
img_0087,20,0.882,0.003,0.0419,0.0449
img_0088,20,0.67,0.0077,0.0273,0.035
img_0089,20,0.632,0.0094,0.0493,0.0587
img_0090,20,0.946,0.0007,0.0213,0.0221
img_0091,20,0.795,0.0038,0.0431,0.0469
img_0092,20,0.705,0.0045,0.0238,0.0283
img_0093,20,0.718,0.0109,0.0224,0.0333
img_0094,20,0.829,0.0035,0.0474,0.051
img_0095,20,0.724,0.0121,0.0384,0.0505
img_0096,20,0.889,0.002,0.0523,0.0544
img_0097,20,0.794,0.0052,0.0484,0.0535
img_0098,20,0.805,0.0042,0.0474,0.0515
img_0099,20,0.834,0.0063,0.0305,0.0368
img_0100,20,0.61,0.011,0.044,0.0551
