Method,Deletion_AUC
Grad-CAM,0.17711819340844143
Grad-CAM,0.1765419279933696
Grad-CAM,0.17777368276864675
Grad-CAM,0.19403967450197726
Grad-CAM,0.17744823432434226
Grad-CAM,0.15005293171318085
Grad-CAM,0.1866463668813543
Grad-CAM,0.17465325043005664
Grad-CAM,0.1756608263170961
Grad-CAM,0.1823176957340171
Grad-CAM,0.18464595473813442
Grad-CAM,0.20327117373198286
Grad-CAM,0.19313273013597337
Grad-CAM,0.18221014354887663
Grad-CAM,0.1652335679531036
Grad-CAM,0.15970675265024564
Grad-CAM,0.18492684390422404
Grad-CAM,0.20622161654408094
Grad-CAM,0.18083313727806768
Grad-CAM,0.17787353412458431
Grad-CAM,0.19063552440801737
Grad-CAM,0.15092909403982643
Grad-CAM,0.1737544536571088
Grad-CAM,0.18980725065187048
Grad-CAM,0.19746808770758892
Grad-CAM,0.1751874065468973
Grad-CAM,0.1875319971737582
Grad-CAM,0.1849642689865683
Grad-CAM,0.19564653617407285
Grad-CAM,0.15773555571503653
Grad-CAM,0.1913650137517077
Grad-CAM,0.1497095921654972
Grad-CAM,0.12760109155562296
Grad-CAM,0.16786218543600995
Grad-CAM,0.1616837990730801
Grad-CAM,0.19752024486112812
Grad-CAM,0.1932853179922579
Grad-CAM,0.1556185051740861
Grad-CAM,0.19694722846696
Grad-CAM,0.159955943515153
Grad-CAM,0.1782751230732743
Grad-CAM,0.17412200444086934
Grad-CAM,0.1822883971492184
Grad-CAM,0.19637272623087534
Grad-CAM,0.19276827581584888
Grad-CAM,0.18699770203738417
Grad-CAM,0.19299896195612595
Grad-CAM,0.18956984075300237
Grad-CAM,0.167460290695608
Grad-CAM,0.16565257812366843
Grad-CAM,0.17060063451727972
Grad-CAM,0.18998652800953564
Grad-CAM,0.1749976885800523
Grad-CAM,0.22671508444961094
Grad-CAM,0.16361414915627012
Grad-CAM,0.15802250800195683
Grad-CAM,0.19536947030939392
Grad-CAM,0.2084369996268693
Grad-CAM,0.1901138538167852
Grad-CAM,0.19671634691935347
Grad-CAM,0.20852689954884324
Grad-CAM,0.17811945047967392
Grad-CAM,0.15154082133722044
Grad-CAM,0.16935846903362575
Grad-CAM,0.19905791514633153
Grad-CAM,0.15112643187843422
Grad-CAM,0.18067062641574522
Grad-CAM,0.18506474718684124
Grad-CAM,0.1736881567037266
Grad-CAM,0.19447263972736192
Grad-CAM,0.1916155948305313
Grad-CAM,0.2264281703380146
Grad-CAM,0.1923993553554627
Grad-CAM,0.16781193082713874
Grad-CAM,0.16876404815331938
Grad-CAM,0.16336837797515985
Grad-CAM,0.1990454711963164
Grad-CAM,0.16866334330372598
Grad-CAM,0.17859478452598804
Grad-CAM,0.1949860523857935
Grad-CAM,0.16553074018697186
Grad-CAM,0.17412684072764562
Grad-CAM,0.14317427468792168
Grad-CAM,0.15835042761922574
Grad-CAM,0.168645271756163
Grad-CAM,0.18831521977033341
Grad-CAM,0.20386986544886593
Grad-CAM,0.17963066373672576
Grad-CAM,0.18522728558399604
Grad-CAM,0.18335938737094465
Grad-CAM,0.20169482226907207
Grad-CAM,0.19786710397476412
Grad-CAM,0.18547386630815083
Grad-CAM,0.15978111393109376
Grad-CAM,0.19806770628689188
Grad-CAM,0.18762094255911504
Grad-CAM,0.2045388309942844
Grad-CAM,0.17940186814637574
Grad-CAM,0.2190620184896769
Grad-CAM,0.17282247319356353
Grad-CAM,0.20997216902081742
Grad-CAM,0.18740551732731425
Grad-CAM,0.19377757286755182
Grad-CAM,0.1975182108016636
Grad-CAM,0.16322325934200355
Grad-CAM,0.1487209037610598
Grad-CAM,0.1575191701976465
Grad-CAM,0.1868095791978318
Grad-CAM,0.20113108011067454
Grad-CAM,0.18255585398705354
Grad-CAM,0.1528013826789341
Grad-CAM,0.20811105339074643
Grad-CAM,0.1478923361137049
Grad-CAM,0.1702362498009134
Grad-CAM,0.1686013383533305
Grad-CAM,0.18501208123340168
Grad-CAM,0.20194286756837687
Grad-CAM,0.1501448894893444
Grad-CAM,0.17362105817381188
Grad-CAM,0.18631050989424724
Grad-CAM,0.15665968191726373
Grad-CAM,0.1781733548730685
Grad-CAM,0.18376698752142556
Grad-CAM,0.15329240739386196
Grad-CAM,0.15385372247249718
Grad-CAM,0.1789026081822686
Grad-CAM,0.17546700399513954
Grad-CAM,0.1844246365174524
Grad-CAM,0.22422744629001914
Grad-CAM,0.1979012415857398
Grad-CAM,0.18890116988213304
Grad-CAM,0.1657967501665337
Grad-CAM,0.19860853204026224
Grad-CAM,0.16435834853804385
Grad-CAM,0.21138916493383988
Grad-CAM,0.20373483671393947
Grad-CAM,0.13990483222059807
Grad-CAM,0.15649911735262023
Grad-CAM,0.17617636952901444
Grad-CAM,0.1719725600078688
Grad-CAM,0.15478351080936553
Grad-CAM,0.15548731758071355
Grad-CAM,0.19444282107343255
Grad-CAM,0.1693552455324876
Grad-CAM,0.14942597020071186
Grad-CAM,0.17438811299570178
Grad-CAM,0.1993908307904796
Grad-CAM,0.21365993096963526
Grad-CAM,0.18123575559429744
Grad-CAM,0.1737079859099205
Grad-CAM,0.16391299212998492
Grad-CAM,0.16959005923166187
Grad-CAM,0.19065994912880027
Grad-CAM,0.20506809446376817
Grad-CAM,0.2048700696892573
Grad-CAM,0.17512194849511162
Grad-CAM,0.1976986367820596
Grad-CAM,0.1952709483697372
Grad-CAM,0.1890737608221682
Grad-CAM,0.1309834751642493
Grad-CAM,0.17873853328554842
Grad-CAM,0.17432670645348597
Grad-CAM,0.20654627810575546
Grad-CAM,0.17433793455974322
