Method,Insertion_AUC
Grad-CAM,0.8706805847129976
Grad-CAM,0.8357410291780152
Grad-CAM,0.8633984308647248
Grad-CAM,0.8272123505090017
Grad-CAM,0.8562392139338174
Grad-CAM,0.8583747452083772
Grad-CAM,0.8346718116787553
Grad-CAM,0.8899875961032297
Grad-CAM,0.8613474732550133
Grad-CAM,0.8119454339421098
Grad-CAM,0.8610571977319161
Grad-CAM,0.8418517636221998
Grad-CAM,0.850027524316326
Grad-CAM,0.8593152958182836
Grad-CAM,0.8578106533462309
Grad-CAM,0.8092169731393076
Grad-CAM,0.8268336051277283
Grad-CAM,0.8654524831714918
Grad-CAM,0.8760240849845858
Grad-CAM,0.88806305773325
Grad-CAM,0.886063364773062
Grad-CAM,0.8088892679073904
Grad-CAM,0.865389642418729
Grad-CAM,0.8116741959776979
Grad-CAM,0.8822720145708399
Grad-CAM,0.855066988056441
Grad-CAM,0.8271766242404592
Grad-CAM,0.8901980189418228
Grad-CAM,0.8628794174058174
Grad-CAM,0.8121770222209705
Grad-CAM,0.8558693623492124
Grad-CAM,0.8353772018466924
Grad-CAM,0.8522259095994048
Grad-CAM,0.8406961077088927
Grad-CAM,0.8774698777253731
Grad-CAM,0.8215342722363285
Grad-CAM,0.8563481033652283
Grad-CAM,0.8862837668119995
Grad-CAM,0.8334607940205946
Grad-CAM,0.8542129735211643
Grad-CAM,0.8540400328190015
Grad-CAM,0.8362059562224282
Grad-CAM,0.8629578724553051
Grad-CAM,0.8519410056361979
Grad-CAM,0.8311246499043375
Grad-CAM,0.885240322097977
Grad-CAM,0.865832299931796
Grad-CAM,0.8466578610995493
Grad-CAM,0.8372665046511307
Grad-CAM,0.8343127475557894
Grad-CAM,0.874618819451211
Grad-CAM,0.847070435309189
Grad-CAM,0.859188764077295
Grad-CAM,0.8463108659821412
Grad-CAM,0.8623281893963471
Grad-CAM,0.8476804173974823
Grad-CAM,0.8652770774495414
Grad-CAM,0.8463357818035694
Grad-CAM,0.8665917459423704
Grad-CAM,0.8634476821869927
Grad-CAM,0.8476678039867763
Grad-CAM,0.8328044551914683
Grad-CAM,0.8311976001891239
Grad-CAM,0.8351852635971846
Grad-CAM,0.8303102471343038
Grad-CAM,0.867315928425081
Grad-CAM,0.8490679537497919
Grad-CAM,0.8814020195514506
Grad-CAM,0.8955865965541028
Grad-CAM,0.8504844494214447
Grad-CAM,0.8190396559531326
Grad-CAM,0.8423709293691943
Grad-CAM,0.8484930316616711
Grad-CAM,0.8202311530969439
Grad-CAM,0.844990134453939
Grad-CAM,0.8557389261828376
Grad-CAM,0.8408114430760525
