corruption_type,severity,mAP_50_95,confidence_drop_pct
gaussian_blur,1,0.754,8.0
gaussian_blur,2,0.64,21.9
gaussian_blur,3,0.584,28.8
gaussian_blur,4,0.473,42.3
gaussian_blur,5,0.405,50.6
gaussian_noise,1,0.733,10.6
gaussian_noise,2,0.633,22.8
gaussian_noise,3,0.556,32.2
gaussian_noise,4,0.468,43.0
gaussian_noise,5,0.441,46.2
jpeg_compression,1,0.746,9.0
jpeg_compression,2,0.656,19.9
jpeg_compression,3,0.549,33.1
jpeg_compression,4,0.458,44.2
jpeg_compression,5,0.414,49.5
weather_rain,1,0.754,8.1
weather_rain,2,0.645,21.3
weather_rain,3,0.607,26.0
weather_rain,4,0.49,40.3
weather_rain,5,0.41,50.0
