task_id,execution_time_ms,sqlite_write_latency_ms,cpu_utilization_pct,ram_peak_mb
task_0000,223.84,3.17,42.1,103.4
task_0001,465.09,1.51,16.1,103.7
task_0002,119.0,2.32,33.9,117.2
task_0003,417.88,2.72,18.8,109.9
task_0004,467.64,3.22,18.9,107.7
task_0005,200.45,2.12,24.8,107.8
task_0006,250.41,1.57,42.3,87.4
task_0007,284.35,2.4,22.4,53.7
task_0008,355.84,2.7,41.4,93.9
task_0009,133.43,1.83,28.6,105.8
task_0010,336.13,3.26,21.3,90.2
task_0011,286.32,3.27,25.1,83.4
task_0012,307.06,1.58,20.5,117.7
task_0013,355.36,3.33,26.6,79.8
task_0014,188.27,1.9,23.5,69.6
task_0015,250.9,2.6,23.5,67.1
task_0016,167.36,1.24,23.0,51.5
task_0017,387.15,2.86,28.9,109.7
task_0018,407.75,1.59,41.2,95.3
task_0019,440.04,2.29,38.2,58.0
task_0020,214.73,3.31,40.9,60.9
task_0021,188.79,2.58,24.4,71.7
task_0022,408.02,1.99,24.7,59.5
task_0023,101.33,2.26,18.1,101.4
task_0024,241.4,2.2,19.7,80.6
task_0025,243.53,1.87,15.2,58.1
task_0026,240.23,2.75,36.4,107.0
task_0027,392.64,1.67,18.2,88.8
task_0028,231.54,2.06,41.1,92.0
task_0029,350.47,3.27,38.7,111.4
task_0030,265.57,2.04,28.0,119.0
task_0031,451.0,3.05,17.3,89.0
task_0032,350.58,2.08,32.8,76.6
task_0033,266.79,3.33,33.3,89.5
task_0034,115.17,1.44,34.4,87.3
task_0035,198.3,1.76,16.8,61.5
task_0036,313.53,3.43,33.8,65.1
task_0037,230.55,2.54,27.4,77.7
task_0038,275.17,1.29,27.5,75.7
task_0039,408.58,1.63,41.2,84.2
task_0040,192.81,2.6,16.3,93.3
task_0041,323.81,1.66,31.4,91.8
task_0042,195.57,3.04,23.5,109.7
task_0043,284.23,3.49,25.3,74.7
task_0044,422.29,1.88,36.1,65.8
task_0045,485.13,3.38,37.2,52.8
task_0046,305.38,2.68,35.2,105.3
task_0047,111.89,2.15,26.6,67.5
task_0048,287.41,3.19,33.4,104.3
task_0049,320.46,2.18,30.9,94.0
task_0050,266.96,3.21,36.2,102.8
task_0051,238.62,2.08,19.3,81.1
task_0052,119.12,2.39,33.5,67.4
task_0053,473.09,2.37,18.8,84.1
task_0054,441.89,2.09,43.6,62.3
task_0055,106.73,1.32,28.9,106.7
task_0056,244.05,1.37,35.4,101.4
task_0057,186.46,3.15,33.9,76.8
task_0058,321.4,3.25,41.8,67.6
task_0059,309.76,2.54,25.7,57.9
task_0060,103.3,1.43,24.0,96.3
task_0061,432.32,1.56,41.4,75.0
task_0062,318.39,2.74,40.0,59.8
task_0063,297.99,1.56,20.6,61.6
task_0064,326.37,3.08,19.2,97.0
task_0065,150.71,2.56,39.4,96.6
task_0066,240.46,2.15,23.4,100.0
task_0067,292.65,2.09,15.6,59.8
task_0068,382.45,3.47,22.6,73.6
task_0069,373.94,3.35,30.2,87.2
task_0070,361.84,2.93,16.5,87.8
task_0071,225.06,1.53,44.0,81.3
task_0072,302.09,2.03,19.0,70.1
task_0073,366.38,2.77,35.5,79.7
task_0074,185.19,2.8,40.7,112.2
task_0075,143.05,2.1,27.4,114.5
task_0076,373.7,1.51,41.4,98.7
task_0077,458.18,1.53,42.6,96.6
task_0078,371.93,1.47,18.7,112.4
task_0079,420.86,1.23,21.0,80.1
task_0080,479.84,2.8,43.0,105.8
task_0081,229.63,2.02,29.4,94.9
task_0082,144.7,2.77,30.7,76.7
task_0083,189.65,3.26,26.7,103.6
task_0084,362.36,1.97,33.6,98.6
task_0085,266.58,1.76,28.1,52.1
task_0086,229.77,1.52,41.4,116.9
task_0087,356.93,2.71,21.3,74.9
task_0088,351.85,1.77,24.1,119.5
task_0089,326.21,2.58,23.8,52.5
task_0090,154.74,2.59,32.0,76.7
task_0091,101.03,1.37,28.7,51.5
task_0092,235.6,1.63,26.6,95.1
task_0093,180.54,3.49,24.5,117.4
task_0094,308.3,1.44,20.8,114.7
task_0095,276.09,3.2,44.0,95.7
task_0096,221.46,3.12,32.3,100.3
task_0097,279.72,2.97,26.8,117.1
task_0098,225.83,1.45,27.8,74.7
task_0099,400.19,2.65,19.9,92.1
