checkpoint_size_mb,serialization_time_ms,deserialization_time_ms,success_rate_pct
1,1.09,0.92,100.0
1,0.96,1.24,100.0
1,0.96,1.0,100.0
1,0.8,1.13,100.0
1,0.99,1.25,100.0
5,5.81,4.8,100.0
5,5.99,6.34,100.0
5,4.2,5.06,100.0
5,5.69,5.95,100.0
5,5.28,5.4,100.0
10,10.7,10.99,100.0
10,11.64,12.18,100.0
10,9.88,10.88,100.0
10,11.87,11.08,100.0
10,11.92,12.57,100.0
50,46.17,46.82,100.0
50,53.01,57.59,100.0
50,45.08,58.73,100.0
50,58.33,55.95,100.0
50,42.98,51.23,100.0
100,117.52,104.89,100.0
100,86.6,120.41,100.0
100,80.53,129.75,100.0
100,108.32,114.16,100.0
100,89.02,115.15,100.0
